standardScaler(),PCA,MinMaxScaler(),"Model type 
(Classification/Regression)",Model used,Model specifics (if any),Target: what we predict,Predictor variables used,Genre as predictor,Accuracy,"F1 score 
(average)",AUC of ROC curve,AIC,"R2 score 
(test set)",MSE,Remarks (if any)
1,0,0,Classification,Decision Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.63,0.415,,,,,
0,0,1,Classification,Decision Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.63,0.415,,,,,
1,0,0,Classification,Decision Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.111,,,,,
0,0,1,Classification,Decision Tree,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.111,,,,,
1,0,0,Classification,Decision Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.3,0.124,,,,,
0,0,1,Classification,Decision Tree,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.3,0.124,,,,,
1,0,0,Classification,Decision Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,0.113,,,,,
0,0,1,Classification,Decision Tree,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,0.113,,,,,
1,0,0,Classification,Decision Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.22,0.077,,,,,
0,0,1,Classification,Decision Tree,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.22,0.077,,,,,
1,0,0,Classification,Decision Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.079,,,,,
0,0,1,Classification,Decision Tree,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.25,0.079,,,,,
1,0,0,Classification,AdaBoost Ensemble Classifier,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.64,0.57,,,,,maximum
0,0,1,Classification,AdaBoost Ensemble Classifier,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.64,0.57,,,,,maximum
1,0,0,Classification,AdaBoost Ensemble Classifier,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.17,0.113,,,,,
0,0,1,Classification,AdaBoost Ensemble Classifier,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.17,0.113,,,,,
1,0,0,Classification,AdaBoost Ensemble Classifier,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,0.136,,,,,
0,0,1,Classification,AdaBoost Ensemble Classifier,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.23,0.136,,,,,
1,0,0,Classification,AdaBoost Ensemble Classifier,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.17,0.123,,,,,
0,0,1,Classification,AdaBoost Ensemble Classifier,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.17,0.123,,,,,
1,0,0,Classification,AdaBoost Ensemble Classifier,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.16,0.09,,,,,
0,0,1,Classification,AdaBoost Ensemble Classifier,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.16,0.09,,,,,
1,0,0,Classification,AdaBoost Ensemble Classifier,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.14,0.097,,,,,
0,0,1,Classification,AdaBoost Ensemble Classifier,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,0.14,0.097,,,,,
1,0,0,Regression,Ridge Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,0.244703487,
0,1,0,Regression,Ridge Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,0.2434025322,
0,0,1,Regression,Ridge Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,0.243570103,
1,0,0,Regression,Ridge Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,27.62867639,
0,1,0,Regression,Ridge Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,27.59609906,
0,0,1,Regression,Ridge Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,27.60076488,
1,0,0,Regression,Ridge Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.082494426,
0,1,0,Regression,Ridge Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.077730031,
0,0,1,Regression,Ridge Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.078354607,
1,0,0,Regression,Ridge Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,1.811702379,
0,1,0,Regression,Ridge Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,1.807625991,
0,0,1,Regression,Ridge Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,1.807238209,
1,0,0,Regression,Ridge Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.044107805,
0,1,0,Regression,Ridge Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.042951074,
0,0,1,Regression,Ridge Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.042438689,
1,0,0,Regression,Ridge Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.721339734,
0,1,0,Regression,Ridge Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.714016033,
0,0,1,Regression,Ridge Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.71470471,
1,0,0,Regression,Ridge Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.214278505,
0,1,0,Regression,Ridge Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.209096726,
0,0,1,Regression,Ridge Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.209738284,
1,0,0,Regression,Lasso Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,0.234567848,minimum
0,1,0,Regression,Lasso Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,0.234567848,minimum
0,0,1,Regression,Lasso Regression,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,0.234567848,minimum
1,0,0,Regression,Lasso Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,27.35078753,
0,1,0,Regression,Lasso Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,27.35503167,
0,0,1,Regression,Lasso Regression,,total_health,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,27.35078753,
1,0,0,Regression,Lasso Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.07270049,
0,1,0,Regression,Lasso Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.072019715,
0,0,1,Regression,Lasso Regression,,life_enjoyment,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.07270049,
1,0,0,Regression,Lasso Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,1.765731843,
0,1,0,Regression,Lasso Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,1.765841166,
0,0,1,Regression,Lasso Regression,,resilience,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,1.765731843,
1,0,0,Regression,Lasso Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.07298616,
0,1,0,Regression,Lasso Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.065770056,
0,0,1,Regression,Lasso Regression,,balanced_life,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.07298616,
1,0,0,Regression,Lasso Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.622073614,
0,1,0,Regression,Lasso Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.622387539,
0,0,1,Regression,Lasso Regression,,emotional_flex,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.622073614,
1,0,0,Regression,Lasso Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.200467541,
0,1,0,Regression,Lasso Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.196796571,
0,0,1,Regression,Lasso Regression,,self_actualization,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity",N,,,,,,2.200467541,
1,0,0,Classification,Decision Tree,,trauma,"energy, dance, liveness, valence, tempo, instrumental, acoustic, popularity, binary genre variables",Y,0.63,0.42,,,,,
